k,P(success_N_plus_k_given_success_N),P(loss_N_plus_k_given_loss_N)
-10,1.0,nan
-9,1.0,nan
-8,1.0,nan
-7,1.0,nan
-6,1.0,nan
-5,1.0,nan
-4,1.0,nan
-3,1.0,nan
-2,1.0,nan
-1,1.0,nan
0,1.0,nan
1,1.0,nan
2,1.0,nan
3,1.0,nan
4,1.0,nan
5,1.0,nan
6,1.0,nan
7,1.0,nan
8,1.0,nan
9,1.0,nan
10,1.0,nan
